instrument,quantification,fold,auc,accuracy,precision_bad,recall_bad,specificity_good,f1_bad,threshold
fusion2,DDA,1,0.958,0.958,1.0,0.857,1.0,0.923,0.9939
fusion2,DDA,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9521
fusion2,DDA,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9994
fusion2,DDA,4,0.983,0.917,0.778,1.0,0.882,0.875,0.1017
fusion2,DDA,5,0.966,0.917,0.778,1.0,0.882,0.875,0.8174
fusion3,DDA,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9898
fusion3,DDA,2,0.972,0.958,1.0,0.909,1.0,0.952,0.4268
fusion3,DDA,3,0.972,0.958,0.917,1.0,0.923,0.957,0.8005
fusion3,DDA,4,0.958,0.917,1.0,0.818,1.0,0.9,0.9816
fusion3,DDA,5,0.921,0.958,1.0,0.9,1.0,0.947,0.9882
lumos1,DDA,1,0.933,0.958,0.9,1.0,0.933,0.947,0.9994
lumos1,DDA,2,1.0,1.0,1.0,1.0,1.0,1.0,0.995
lumos1,DDA,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9971
lumos1,DDA,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9958
lumos1,DDA,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
qe_hf3,DDA,1,0.979,0.958,1.0,0.9,1.0,0.947,1.0
qe_hf3,DDA,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9992
qe_hf3,DDA,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8029
qe_hf3,DDA,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qe_hf3,DDA,5,0.963,0.958,1.0,0.889,1.0,0.941,0.7812
qe_hf4,DDA,1,0.963,0.958,1.0,0.889,1.0,0.941,0.7982
qe_hf4,DDA,2,0.974,0.958,0.9,1.0,0.933,0.947,0.9753
qe_hf4,DDA,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qe_hf4,DDA,4,0.948,0.958,1.0,0.889,1.0,0.941,0.9302
qe_hf4,DDA,5,0.985,0.958,1.0,0.889,1.0,0.941,0.9992
qe_plus,DDA,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0779
qe_plus,DDA,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9976
qe_plus,DDA,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9994
qe_plus,DDA,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9995
qe_plus,DDA,5,0.782,0.833,0.714,0.714,0.882,0.714,0.7375
m3,DIA,1,0.833,0.875,0.667,1.0,0.833,0.8,0.9364
m3,DIA,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9161
m3,DIA,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8649
m3,DIA,4,1.0,1.0,1.0,1.0,1.0,1.0,0.932
m3,DIA,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9713
